timestamp,frame_idx,latency_ms,avg_latency_ms,effective_fps,npu_util_pct,npu_temp_c,mem_mb
2026-04-24 19:13:57,30,58.00,66.56,1.53,11.0,55.0,693.3
2026-04-24 19:14:00,60,66.03,70.00,10.11,2.0,56.0,693.3
2026-04-24 19:14:03,90,65.48,70.16,10.48,11.0,56.0,693.3
2026-04-24 19:14:06,120,72.26,69.83,11.30,11.0,56.0,693.3
2026-04-24 19:14:09,150,65.89,68.26,10.86,12.0,56.0,693.3
2026-04-24 19:14:11,180,63.53,67.47,11.08,10.0,57.0,693.3
2026-04-24 19:14:14,210,62.51,68.13,11.00,10.0,56.0,693.3
2026-04-24 19:14:17,240,60.99,67.54,11.26,7.0,56.0,693.3
2026-04-24 19:14:19,270,60.60,66.91,11.21,8.0,57.0,693.3
2026-04-24 19:14:22,300,59.95,66.42,10.73,11.0,56.0,693.3
2026-04-24 19:14:25,330,70.15,67.07,10.85,11.0,56.0,693.3
2026-04-24 19:14:28,360,65.30,66.46,11.34,11.0,56.0,693.3
2026-04-24 19:14:30,390,69.56,67.56,10.64,3.0,57.0,693.3
2026-04-24 19:14:33,420,76.33,66.82,11.59,11.0,57.0,693.3
2026-04-24 19:14:36,450,62.72,66.59,10.92,6.0,57.0,693.3
